No ISO,Prefecture,Pop,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78
1,Hokkaido,5228885,159,13,21,62,152,194,222,111,65,31,51,28,45,38,29,54,14,37,51,51,100,77,76,79,54,52,61,105,109,182,168,212,352,626,1374,1629,1590,1395,1313,1080,814,741,912,1165,884,764,669,430,310,315,322,457,466,431,432,537,572,877,1190,1825,3736,4065,3416,1917,1081,553,273,211,345,507,736,1409,2033,2729,3405,3286,2070,1075
2,Aomori,1238730,0,6,5,11,0,0,4,1,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,2,0,0,0,0,2,0,63,70,57,44,7,2,7,37,47,19,32,74,63,76,42,34,29,61,11,4,4,32,43,37,138,89,140,163,136,170,174,205,193,75,32,6,23,42,20,34,36,90,152,279,412,613,572,370
3,Iwate,1211206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,3,8,4,0,0,0,0,1,2,1,0,3,34,63,56,37,75,35,33,26,28,40,30,9,17,7,33,1,1,6,24,19,83,58,31,62,110,128,130,126,95,63,90,52,27,48,67,71,54,103,143,241,292,215,289,184
4,Miyagi,2303487,1,1,18,26,37,2,3,0,0,0,0,0,0,1,3,5,3,29,11,20,21,3,7,7,33,59,61,34,33,56,48,43,135,134,139,102,106,91,190,245,276,242,289,376,331,163,77,32,57,47,138,271,518,903,914,751,460,315,196,244,215,197,121,124,59,41,40,71,123,232,121,255,557,969,1515,1430,853,441
5,Akita,960113,2,2,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,6,5,4,1,0,2,1,0,5,1,2,2,4,4,3,16,0,2,3,28,20,24,29,46,18,9,0,0,0,0,0,8,6,18,24,37,51,67,101,103,56,15,5,2,3,60,79,31,37,18,30,53,101,190,219,98,76
6,Yamagata,1068696,0,0,6,26,28,6,2,1,0,0,0,0,0,0,0,0,2,4,0,1,0,0,1,0,1,0,0,0,0,3,0,3,2,0,10,11,15,36,82,62,59,30,31,20,15,43,26,6,5,6,0,10,62,216,181,174,137,100,100,68,111,150,96,42,17,13,0,7,30,27,8,49,190,197,294,272,180,122
7,Fukushima,1834198,2,0,12,23,23,8,7,6,0,0,0,0,0,1,0,0,1,1,2,3,7,9,19,33,18,29,14,24,21,39,57,26,3,24,19,43,22,32,71,98,168,104,210,231,174,134,57,52,45,47,152,112,117,115,168,208,157,233,227,378,428,211,133,74,69,63,76,100,134,97,118,467,644,777,707,650,423,255
8,Ibaraki,2868554,3,10,46,32,44,23,7,3,0,0,0,0,0,2,2,11,13,24,19,55,86,70,48,44,31,36,14,14,34,35,19,14,29,38,140,259,303,300,165,144,163,228,548,667,596,436,337,242,202,204,229,197,211,223,231,239,315,426,397,318,420,402,342,201,220,143,186,181,181,281,379,999,1584,1919,2044,2014,1566,1232
9,Tochigi,1934016,4,7,3,18,12,8,2,0,6,4,1,1,0,0,3,17,7,25,33,44,48,26,19,15,6,29,47,42,8,10,18,13,13,9,15,45,61,113,128,142,205,383,802,716,419,228,116,83,74,62,67,103,159,107,206,188,137,142,181,191,254,238,240,172,188,113,163,170,120,156,201,738,892,1000,1344,1337,886,664
10,Gunma,1940333,11,4,10,54,41,20,6,1,0,2,0,2,0,0,1,2,1,12,12,12,30,58,95,60,40,67,103,54,27,30,14,89,42,24,27,82,144,194,241,285,237,247,417,438,345,225,286,139,123,137,104,88,125,121,152,166,213,226,328,602,536,371,271,118,64,23,23,26,37,49,66,592,955,1055,1792,1911,1000,546
11,Saitama,7346836,44,34,75,192,265,176,92,84,22,15,4,4,12,12,70,117,213,237,367,352,435,343,366,331,239,163,153,130,218,286,280,271,254,345,540,758,723,937,1138,1217,1515,1703,2681,2357,3290,1888,1576,1109,938,679,684,893,758,768,919,921,1093,1387,1364,1540,1763,1319,929,778,609,484,641,720,945,1630,2437,5111,7816,9910,12025,10797,7881,4719
12,Chiba,6287034,42,84,93,192,232,135,45,56,19,6,3,3,15,5,22,57,85,188,177,203,458,301,323,256,194,197,217,182,226,258,237,270,259,276,411,587,556,524,690,858,1177,1345,2372,3060,3028,2186,1511,861,938,849,861,729,698,694,684,719,815,894,947,946,1101,892,722,710,624,771,756,922,1114,1458,1967,3891,6247,7153,9159,9980,8523,5302
13,Tokyo,14064696,142,226,529,1017,1074,862,641,355,204,88,93,138,128,251,306,600,1067,1502,1752,1716,2845,1918,1667,1448,1087,1201,1189,1067,1263,1193,1270,1070,1187,1333,2067,2821,2893,3167,3368,4145,4961,5923,11676,10428,9026,6304,4208,2718,3328,1885,1871,1952,2091,2400,2686,3210,3983,4998,5588,5436,6135,4553,3997,3082,2736,2644,3332,3942,5041,7084,9420,20440,27251,29618,33033,27799,19073,10474
14,Kanagawa,9240411,68,36,93,268,289,189,117,98,93,71,37,28,15,26,27,110,155,248,238,336,645,587,596,478,504,539,432,356,420,372,422,415,403,550,781,1139,1146,1178,1317,1791,2560,2942,4502,5775,5082,2900,1743,1039,829,783,787,728,725,673,785,950,1243,1531,1620,1591,2176,1914,1653,1422,1459,1277,1304,1480,1841,2726,3655,7041,11545,13603,16624,17024,12782,6543
15,Niigata,2202358,26,5,1,9,15,9,12,5,1,0,0,0,0,1,0,0,3,2,3,22,14,1,9,4,4,2,14,8,0,7,3,1,3,4,36,71,34,25,36,45,68,52,85,121,77,66,46,53,27,46,34,70,76,124,153,175,207,230,162,223,285,198,166,110,68,27,13,17,61,91,158,293,460,608,683,799,435,362
16,Toyama,1035612,0,0,10,13,56,96,34,7,9,2,0,0,0,0,0,1,2,1,4,8,32,32,31,41,23,6,2,2,10,0,1,0,1,1,1,16,16,4,3,23,51,25,124,96,56,29,12,7,10,8,2,2,11,13,15,87,85,124,89,65,92,185,182,59,38,52,30,6,16,21,62,145,248,355,742,616,292,135
17,Ishikawa,1133294,8,1,23,72,69,51,36,17,9,9,3,1,0,0,1,0,0,3,7,12,20,96,112,70,77,33,20,23,4,3,13,5,12,9,9,5,13,21,40,47,68,75,111,102,106,39,78,119,127,66,32,6,10,8,40,89,134,182,174,283,371,262,277,111,45,42,16,22,74,166,281,635,572,512,509,430,286,174
18,Fukui,767433,1,11,32,42,20,14,2,0,0,0,0,0,0,0,0,0,0,4,1,12,14,1,7,50,30,3,0,0,0,5,5,2,1,1,14,28,14,7,10,6,8,14,38,46,33,34,11,9,12,3,0,1,7,15,42,43,57,133,41,61,42,31,19,16,9,34,144,84,49,43,29,161,219,158,209,292,184,159
19,Yamanashi,810427,2,2,7,21,16,3,4,1,1,3,4,1,4,3,0,3,1,1,8,9,30,12,26,10,2,5,1,0,13,3,3,4,9,13,50,23,38,45,59,27,42,59,108,140,58,24,10,11,15,5,2,5,9,1,25,31,45,56,80,74,109,71,75,54,201,104,178,47,38,32,42,135,313,391,541,577,407,251
20,Nagano,2049683,4,2,5,17,19,19,3,5,2,0,0,0,0,1,0,0,0,7,4,23,16,21,21,68,49,10,5,2,9,8,6,4,11,16,91,144,99,95,155,92,72,112,324,396,218,125,49,16,13,6,5,38,106,166,222,254,258,302,160,202,234,272,185,96,66,31,62,16,20,22,46,167,353,489,840,742,395,230
21,Gifu,1979781,3,13,27,48,46,9,4,0,0,0,0,1,2,3,0,4,2,11,47,124,106,61,27,17,9,16,17,19,11,6,9,29,15,43,71,111,123,193,234,257,260,406,589,482,452,290,212,145,101,59,57,23,32,83,86,127,211,260,382,571,923,754,468,395,171,100,72,29,33,69,74,146,315,678,1911,2291,1751,1071
22,Shizuoka,3635220,3,1,6,29,11,12,11,0,0,1,2,0,2,3,0,6,6,12,15,150,76,53,35,45,9,17,13,9,25,14,10,13,48,71,115,289,336,380,260,267,185,219,443,576,404,385,166,92,161,141,105,160,96,132,173,145,173,174,212,272,569,497,469,284,236,189,194,179,194,228,330,725,1116,1714,3136,3607,3354,1591
23,Aichi,7546192,141,23,52,124,51,84,16,0,12,3,1,2,4,8,2,2,3,60,344,864,879,779,614,344,225,198,204,178,186,101,132,175,319,488,829,1017,1168,1306,1381,1418,1446,1564,1968,2014,1698,1348,728,566,422,286,321,271,257,399,564,895,1273,1637,2043,2223,3946,3895,2938,1938,1216,680,542,301,379,450,616,1159,2041,3200,6620,11593,11675,9025
24,Mie,1771440,9,0,3,5,18,10,0,0,0,0,0,0,0,1,0,0,1,8,8,38,111,56,63,34,34,58,12,20,36,10,14,6,10,30,21,90,120,114,102,89,80,100,160,286,219,198,124,81,86,56,43,34,41,56,130,155,173,337,324,277,333,260,189,161,93,55,62,31,53,128,106,201,447,717,1869,2826,1657,787
25,Shiga,1414248,4,2,11,21,32,24,2,1,2,1,0,0,0,1,0,2,1,5,43,27,104,48,53,57,21,9,6,13,13,11,8,15,15,47,56,75,47,37,43,61,144,160,299,207,208,179,118,72,71,86,84,92,48,45,103,121,218,326,285,335,353,296,269,244,117,87,52,30,54,60,87,255,566,909,1289,1384,1065,494
26,Kyoto,2579921,22,15,68,76,61,48,38,19,11,0,0,0,2,3,3,20,34,70,96,172,165,138,182,158,111,95,52,51,57,42,98,51,56,87,121,187,176,151,340,483,546,698,715,945,930,807,451,195,129,71,33,94,63,101,236,447,596,811,960,905,940,1024,430,370,269,124,90,104,143,232,357,956,1587,2252,3102,3667,3044,1927
27,Osaka,8842523,125,67,196,379,397,313,181,74,36,13,1,2,2,20,8,37,116,278,670,1337,1322,1124,1022,709,547,551,474,398,371,339,355,512,777,923,1479,2004,2471,2567,2424,2166,1907,1825,3401,3711,3402,2475,1451,890,672,548,525,620,844,1576,3462,5236,7420,7757,7938,6224,5484,3309,1960,1296,958,656,704,724,920,1802,2413,5238,7159,9389,14465,17236,16502,10462
28,Hyogo,5469184,106,19,57,176,144,117,35,34,10,1,0,0,0,1,5,4,17,75,140,279,313,277,262,163,100,100,114,87,131,114,97,100,144,233,361,669,829,855,922,882,1016,1143,1363,1760,1730,1235,769,426,322,185,208,253,412,551,1085,1729,2636,3335,3373,2848,2633,1543,952,584,388,230,134,167,217,421,695,1342,2606,3466,5469,6828,6258,4481
29,Nara,1325437,8,3,13,15,21,16,10,4,0,1,1,0,0,0,0,1,21,37,49,56,62,51,113,28,24,11,7,10,18,15,18,12,23,78,109,140,131,185,174,163,215,234,234,253,269,176,176,69,77,25,40,52,55,115,294,544,541,681,589,564,529,345,153,142,68,77,118,110,83,119,162,318,573,711,1085,1395,1305,809
30,Wakayama,923033,17,0,4,12,7,17,5,0,1,0,0,0,0,0,1,0,11,14,27,47,11,20,31,5,2,4,0,2,4,7,6,15,5,11,32,61,57,54,61,22,21,46,108,104,123,79,52,37,16,3,5,5,25,47,92,185,213,276,172,160,129,89,52,23,16,6,15,21,11,26,65,176,237,216,478,517,403,213
31,Tottori,553847,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,10,5,0,1,0,0,1,13,0,0,0,0,0,3,5,9,1,5,3,6,1,16,36,43,12,14,9,9,0,1,2,0,0,0,1,65,15,43,18,21,19,37,19,15,3,0,0,0,22,6,68,78,133,197,108,148,130,154,67
32,Shimane,671602,0,0,0,6,9,1,7,1,0,0,0,0,0,0,0,0,0,1,3,1,0,103,2,3,0,0,0,3,0,0,0,0,1,0,0,1,4,7,12,14,15,19,11,10,8,23,11,4,1,3,0,0,1,1,2,3,6,32,24,20,51,68,43,10,4,2,1,1,8,15,86,68,65,108,160,191,179,74
33,Okayama,1889607,0,3,7,6,2,3,2,1,1,0,0,0,0,0,1,2,0,8,23,27,24,15,10,10,1,0,2,4,6,5,9,22,92,46,47,106,98,62,57,269,274,168,362,262,182,110,61,52,21,16,39,59,34,31,99,170,242,383,486,814,1129,882,445,172,80,33,10,8,18,64,164,344,663,958,1560,1539,1185,577
34,Hiroshima,2801388,2,2,9,18,98,14,18,4,0,2,0,1,0,0,0,1,7,29,45,79,68,36,15,8,3,5,11,31,91,28,24,5,5,11,18,48,49,238,413,672,707,566,571,352,274,185,109,59,62,29,15,22,11,37,83,62,121,247,269,652,1405,1276,1223,487,234,187,117,49,51,69,162,283,540,817,1372,2751,1864,1106
35,Yamaguchi,1342987,3,3,1,12,11,1,3,3,0,0,0,0,0,0,0,0,0,5,5,11,12,12,25,51,23,13,1,1,5,8,0,4,0,12,33,85,38,28,24,25,58,76,93,131,261,141,74,60,15,13,5,5,7,9,29,23,82,157,163,161,365,295,221,89,74,36,29,27,16,18,15,91,123,310,564,492,415,203
36,Tokushima,719704,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,4,0,2,14,31,29,18,24,17,2,0,0,1,1,9,6,0,3,4,7,3,4,2,2,6,4,27,61,72,25,10,30,23,3,11,3,2,48,58,105,188,250,204,144,95,55,17,6,5,9,5,2,4,31,42,54,60,75,245,381,301,225
37,Kagawa,951049,1,0,1,2,20,4,0,0,0,0,0,0,0,0,0,0,1,13,3,1,12,4,9,6,7,3,6,0,0,0,5,3,0,3,10,15,9,21,40,7,67,35,106,107,65,49,59,23,20,15,6,10,11,3,106,88,79,91,136,229,279,132,70,41,30,20,8,8,15,15,27,117,251,412,560,582,351,135
38,Ehime,1335694,3,1,8,18,14,3,0,1,22,9,3,0,0,0,0,0,0,0,2,8,9,9,3,1,0,0,0,0,0,1,1,0,0,1,6,63,118,37,17,16,33,70,153,170,131,62,16,20,18,15,4,7,8,170,206,231,219,257,191,136,121,54,40,20,10,13,3,3,1,32,35,102,215,388,547,436,253,168
39,Kochi,692065,12,1,11,30,10,8,2,0,0,0,0,0,0,0,0,0,0,2,2,2,3,14,10,17,7,6,0,0,1,0,2,0,4,0,0,2,3,66,124,139,140,58,49,40,53,28,14,14,10,0,18,6,4,2,7,25,14,22,70,65,31,94,181,149,80,63,73,56,45,56,44,98,89,112,396,592,443,245
40,Fukuoka,5138891,5,16,46,265,168,95,53,5,4,1,71,68,24,17,6,18,46,64,320,464,998,730,503,425,370,150,64,21,37,47,38,40,47,50,91,146,245,219,574,584,860,779,1962,1613,2272,1274,539,829,453,291,189,235,247,203,199,274,641,1265,2166,2360,3951,2724,1425,678,373,248,229,197,284,411,741,2323,4353,5397,6729,6949,5450,3246
41,Saga,812013,1,0,5,6,4,20,6,3,2,0,0,0,0,0,0,0,0,0,19,24,55,45,28,19,3,4,1,0,1,2,4,2,0,14,10,15,14,29,42,31,34,31,105,172,135,60,30,19,9,50,24,61,19,12,44,47,66,125,152,307,288,195,100,34,10,8,8,11,5,24,42,111,201,451,861,687,439,192
42,Nagasaki,1313103,1,1,6,6,3,0,1,0,0,0,0,0,0,0,0,0,2,13,15,42,70,25,9,36,5,1,1,0,2,1,2,1,2,2,3,5,11,8,17,62,105,246,152,302,202,115,69,37,10,20,2,1,2,11,19,8,96,174,185,321,283,105,59,103,72,55,47,59,17,35,57,140,269,364,562,463,376,242
43,Kumamoto,1739211,7,3,6,7,12,8,4,1,0,0,0,0,0,0,1,0,0,1,8,159,124,51,74,43,31,28,3,1,16,85,67,28,18,61,56,48,55,73,131,172,287,234,369,616,188,255,41,31,29,7,16,14,16,10,22,14,60,176,383,264,702,718,348,146,65,39,32,22,9,21,33,365,814,1023,1675,1587,1128,609
44,Oita,1124597,13,14,4,11,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,17,41,6,13,1,0,0,0,0,1,0,0,1,4,45,64,105,130,58,51,94,110,95,116,113,78,38,22,8,6,1,2,4,16,22,31,205,329,410,513,307,196,99,35,13,11,3,10,19,38,97,232,446,1113,1191,745,337
45,Miyazaki,1070213,3,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16,85,94,41,53,24,5,2,4,0,0,0,22,0,1,5,1,41,63,68,39,74,37,64,414,302,221,112,71,27,37,8,2,0,0,0,13,5,72,81,122,217,301,175,80,27,10,11,9,23,8,11,21,82,177,308,580,843,524,258
46,Kagoshima,1589206,0,1,2,1,3,3,0,1,0,0,0,0,1,0,0,40,81,32,39,49,23,6,59,19,11,2,4,24,22,25,15,1,5,37,37,50,20,25,159,72,52,96,173,112,196,101,58,60,28,17,1,0,7,31,47,66,33,64,173,329,330,266,177,197,87,63,21,42,36,39,55,143,349,836,1462,1235,595,361
47,Okinawa,1468410,3,3,3,40,52,32,9,0,0,0,0,0,0,0,0,0,6,1,37,267,515,590,306,220,136,60,58,69,162,160,126,279,202,152,208,271,280,288,250,161,223,255,405,482,628,572,311,149,105,102,128,167,254,448,620,816,786,672,499,424,789,1144,1706,1685,1088,660,482,437,336,423,780,2239,3406,4081,4634,4452,2948,2769
